128, 1.15524, 11
256, 1.15216, 35
512, 1.23559, 116
1024, 1.18707, 483
2048, 1.19822, 2035
4096, 1.2025, 8686
8192, 1.20282, 37211
16384, 1.20351, 163127
32768, 1.19336, 860692
