128, 28.3485, 17
256, 46.8646, 45
512, 77.9663, 147
1024, 129.735, 609
2048, 216.804, 2560
4096, 361.714, 10948
8192, 603.88, 46386
16384, 1009.37, 194322
32768, 1688.04, 967437
